S,CB,Conversion,Floor
20.0,900.126085139688,76.923,900.0777564434991
40.0,900.12608516355,153.846,900.0777564434991
60.0,900.1260891003756,230.769,900.0777564434991
80.0,900.1267596631164,307.692,900.0777564434991
100.0,900.1454041626474,384.615,900.0777564434991
120.0,900.3303264480276,461.538,900.0777564434991
140.0,901.27097329133,538.461,900.0777564434991
160.0,904.3320577793188,615.384,900.0777564434991
180.0,911.6181163928235,692.307,900.0777564434991
200.0,925.6199372469176,769.23,900.0777564434991
220.0,948.5160910418317,846.153,900.0777564434991
240.0,982.0033977538023,923.076,900.0777564434991
260.0,1027.1123056710242,999.999,900.0777564434991
280.0,1084.3245884367432,1076.922,900.0777564434991
300.0,1153.944328607733,1153.845,900.0777564434991
320.0,1230.768,1230.768,900.0777564434991
340.0,1307.691,1307.691,900.0777564434991
360.0,1384.614,1384.614,900.0777564434991
380.0,1461.5370000000003,1461.537,900.0777564434991
400.0,1538.46,1538.46,900.0777564434991
420.0,1615.383,1615.383,900.0777564434991
440.0,1692.306,1692.306,900.0777564434991
460.0,1769.229,1769.229,900.0777564434991
480.0,1846.152,1846.152,900.0777564434991
500.0,1923.075,1923.075,900.0777564434991
